,ig_page,ig_post_date,ig_content,ig_like_cnt,ig_comment_cnt,ig_extract_date
0,aiahongkongmacau,2 months ago,"
                        【AIA x 何詩蓓  #AIA香港及澳門大使】為您超越 伴您突破 

喺2021年  #何詩蓓 奪得個人第一面奧運銀牌！並4度打破亞洲紀錄！
到底香港泳將何詩蓓係憑住咩信念，先能夠不斷超越，刷新紀錄？

講起游水……我哋可能會諗起訓練同比賽，但對詩蓓嚟講，游水仲係一種激勵大家一齊向前，突破自身界限嘅信念！

而AIA亦有相同嘅理念，除咗不斷推出領先業界嘅保險產品，我哋更為您健康超越保險，務求幫助大家實踐「健康長久好生活」之餘，亦陪伴大家突破自我，跨越每個挑戰！

 #AIA為您超越伴您突破  #AIAGoingBeyondWithYou
緊貼更多  #AIAx何詩蓓 嘅精彩故事 :  https://bit.ly/3Pjpo0Y

 #SiobhánHaughey @siobhanhaughey01   #AIAHongKongAndMacauAmbassador
 #AIA超越保險  #AIABeyondInsurance 
 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #AIAOneBillion 
                    ",278        ,3        ,20221003
1,aiahongkongmacau,2 days ago,"
                        【📢 投保AIA個人保險計劃，即有機會贏取 「AIA Presents Ivana x Serrini Fairy Nice To Meet You Live 2022」門票2張！🎫 🎫】 

由即日起至2022年10月31日期間，客戶成功投保AIA個人保險計劃*滿指定金額，就可自動獲享抽獎機會，有機會贏取「AIA Presents Ivana x Serrini Fairy Nice To Meet You Live 2022」指定日子音樂會HK$980門票2張，連同KKBOX 60天音樂服務（名額共200名） 。今次係Ivana同Serrini首次聯手合作🤝，為樂迷帶嚟一個耳目一新嘅音樂會，一齊入場睇兩位Fairies嘅crossover啦🎤！

得獎名單將於2022年11月11日喺 aia.com.hk、當日出版嘅星島日報同英文虎報內公佈。 

* 受條款及細則約束。詳情(包括AIA個人保險計劃之定義)請參閱：https://bit.ly/3BWWTAS

推廣生意的競賽牌照號碼：56141

註：人壽保險保單屬長期的保險合約，其設計及宗旨為保障人的壽命，通常涉及較長年期。客戶應根據自身的保障需要和保費負擔能力投保適合的保險產品。

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #王菀之  #IvanaWong  #Serrini  #音樂會  #抽獎 
                    ",239        ,0        ,20221003
2,aiahongkongmacau,2 days ago,"
                        【反應熱烈！優惠延長🎉】AIA超越賞 - 突破傳統保險  超越一般優惠

AIA不斷追求超越，超越傳統獎賞，畀您「折折上升」嘅折扣優惠 — AIA超越賞：

依家起至2022年11月15日，凡投保AIA全線產品，可享優惠，包括保費回贈高達75%！

以限時優惠嘅價錢獲得最佳健康保障，您又點可以錯過？立即聯絡您嘅財務策劃顧問瞭解更多啦！

 #AIA超越賞  #AIABeyondRewards  #AIA為您超越伴您突破  #AIAGoingBeyondWithYou  #AIA超越保險  #AIABeyondInsurance  #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活 

註：1.上述全線保險產品包括AIA全線個人及團體保險（個人財物保險、「競跑保」及資本投資者入境計劃除外）。2.優惠受相關條款及細則約束，詳情請瀏覽aia.com.hk。 
                    ",110        ,0        ,20221003
3,aiahongkongmacau,3 days ago,"
                        🥁 AIA 青年共創項目比賽「Cre8 by AIA」入圍名單出爐喇！🌟
「Cre8 by AIA」以合共 HK$150 萬嘅 Cre8 起動資金同全方位支援，幫年青人追尋夢想！

經過評審千挑萬選，  #五大組別 嘅入圍名單終於有結果喇！恭喜晒以下 10 位入選者～接住落嚟， 一眾  #星級導師  #Cre8大師  #游學修 @neoyau19  、多元唱作歌手  #軒公 @hinscheung  、心靈插畫品牌 @dustykid_hk  創作人陳塵 @rapchan  、@bakehousehk  麵包店🥐創辦人 @gregoiremichaud 、 @greenpricehk  社企聯合創辦人 @terence_hon  同 @9gag  聯合創辦人 Chris 會秉承住  #袋錢落你袋 嘅精神，將獨門創業秘笈傳授畀咁多位入選者，仲會為佢哋提供曝光機會，畀更加多人見到佢哋嘅諗法，再有機會贏走埋 HK$30 萬起動資金💰！

想知星級導師們點樣同佢哋手拖手踏上 Cre8 之旅？嚟緊就要密切留意 @cre8hk  嘅 Instagram 更新喇！

入圍名單
🎤表演創作：Ian（電影） @ianlui.lionrockfilmco  , Kinyi（唱作） @kinyi_sung 
🎨設計：Ellis（植物皮革手袋設計） @soulmatte.earth  , Minnie（時裝設計） @lamwingsum 
🍽️飲食：Nicky（調味牛油製作） @yelo.steakbutter  , Sarah（甜品烘焙） @22c.patisserie 
♻️環保：Declan（自動化塑膠分類技術） @plaper.hk  , Jorch（上門回收平台） @theloopshongkong 
💡創科：Wah（子宮頸癌檢測衛生巾） @la.rosee.hk  , Samuel（3D 器官掃瞄） @oao.hk 

再次衷心感謝每一位 Cre8 by AIA 參加者！無論有冇入圍，呢度都唔會係你創業嘅終點！請記住你哋嘅初衷同熱誠，唔好放棄你嘅 Cre8 之旅！ #點解要點解？想 Cre8，本身就係冇原因㗎！

 #Cre8byAIA  #你有諗法我有辦法  #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活

Cre8 by AIA 受條款及細則約束，詳情請瀏覽 cre8.com.hk 。 
                    ",52        ,1        ,20221003
4,aiahongkongmacau,6 days ago,"
                        超越的意義。

感謝 @aiahongkongmacau  的邀請，
以 #何詩蓓小姐 @siobhanhaughey01  於游泳上所展現的精神 —— 「超越」為概念，繪畫插圖。

一直認為，關於「超越」，
往內是一種自我突破和探求，
向外則是一種能力的印證和說服。

可除此以外，於我而言，
超越的意義，更重要的是其「背後」的蘊藏：
那些不為人知的自我質疑和迷失；
那些視力竭為開始的鍛練；
那些以年計的忍耐和自我勸服；
那些無數心裡有過的黑夜，
和不一定能上演的白晝。

亦因如此，所謂超越，
不僅是賽道上時分秒的刷新；
亦不僅是競技項目裡碰觸到的勝利；
更可以是每一次你浴火重新後的自己，
每一次你涉歷未知，
那份依然冒險追尋的勇氣。

-

有關超越，不止於我，他們演繹更多：
@a_r_y_u.c  | @isaac.spellman  | @kazy_chan  | @nopaperstudio  | @surrealhk  | @tsesaipei  | @vvvvnho  

 #AIAx何詩蓓  #AIA為您超越伴您突破  #AIAGoingBeyondWithYou  #AIA超越保險  #AIABeyondInsurance  #健康長久好生活  #HealthierLongerBetterLives 
                    ",244        ,0        ,20221003
5,aiahongkongmacau,6 days ago,"
                        【為您超越 伴您突破】
記得小時候填紀念冊時，在填「我的志願」那一項真的是雄心壯志！人漸漸長大，遇到的絆腳石也不少，但我始終相信，肯繼續堅持尋夢，就一定有人陪你一起傻，一起癲。只要有像何詩蓓那種超越極限的精神，我們都可以實現夢想，超越現在的自己！
-
今次與 @aiahongkongmacau  和  #何詩蓓 @siobhanhaughey01  聯同一眾插畫師跟大家一起超越突破，當中有：
@isaac.spellman  | @kazy_chan  | @laily.art  | @nopaperstudio  | @surrealhk  | @tsesaipei  | @vvvvnho  
一定要看看他們的作品啊！
-
 #AIAx何詩蓓  #AIAxSiobhánHaughey   #AIAGoingBeyondWithYou  #AIA為您超越伴您突破  #AIA超越保險  #AIABeyondInsurance  #健康長久好生活  #HealthierLongerBetterLives
 #香港插畫  #插畫  #绘画  #漫画  #香港  #aryu  #hongkongillustration  #hongkongillustrator  #illustration  #drawing  #art  #design  #comic  #anime  #hongkong 
                    ",289        ,1        ,20221003
6,aiahongkongmacau,6 days ago,"
                        【何詩蓓為您超越 伴您突破】

喺城市生活得太耐，有時都會想突破下原有嘅生活模式，出走去唔同嘅世界！🧗🏻
Inspired by  #何詩蓓 @siobhanhaughey01  嘅  #超越精神 🏊🏻‍♀️🏊🏻‍♀️ 我最響往，突破想去嘅地方一定係充滿綠色植物嘅森林！🌳🌳 因為平日畫就畫好多，如果有機會親身去到，感受下被樹木包圍嘅感覺就好！🌲🌲
 
諗緊點樣突破自己？不如先去 @aiahongkongmacau  睇吓  #AIAx何詩蓓 同其他artist嘅超越故事啦！
 
@a_r_y_u.c  | @isaac.spellman  | @laily.art  | @nopaperstudio  | @surrealhk  | @tsesaipei  | @vvvvnho 

 #AIAxSiobhánHaughey  #AIAGoingBeyondWithYou  #AIA為您超越伴您突破
 #AIA超越保險  #AIABeyondInsurance  #健康長久好生活  #HealthierLongerBetterLives 
                    ",488        ,0        ,20221003
7,aiahongkongmacau,6 days ago,"
                        我喜歡以想像突破生活界限，喺天空自由自在，遠離地面嘅繁忙同壓迫感。
一齊以  #何詩蓓嘅超越精神，從心態開始，突破生活啦！

Refresh your mind 🌟 即刻去 @aiahongkongmacau  睇  #AIAx何詩蓓 @siobhanhaughey01  同其他Artist嘅超越故事啦！
@a_r_y_u.c  | @isaac.spellman  | @kazy_chan  | @laily.art  | @nopaperstudio  | @tsesaipei  | @vvvvnho 

 #AIAxSiobhánHaughey  #AIAGoingBeyondWithYou  #AIA為您超越伴您突破
 #AIA超越保險  #AIABeyondInsurance  #健康長久好生活  #HealthierLongerBetterLives 
                    ",1k        ,6        ,20221003
8,aiahongkongmacau,6 days ago,"
                        【何詩蓓 為您超越 伴您突破】
傳統唔代表一定會被淘汰，突破框框，融入現代嘅創作中，就係另一種美
只要好似 #何詩蓓@siobhanhaugheyo1 咁有 #超越精神 ，我哋就可以創造出更多可能！
即刻去 @aiahongkongmacau  睇吓  #AIAx 何詩蓓嘅超越心聲 •記得睇埋其他 Artist 嘅超
越故事呀！
@a_r_y_u.c  | @isaac.spellman  | @kazy_chan  | @laily.art  | @nopaperstudio  | @surrealhk  I
@tsesaipei 
 #AlAxSiobhánHaughey  #AIAGoingBeyondWithYou  #AIA為您超越伴您突破
 #AIA超越保險 #AlABeyondinsurance  #健康長久好生活  #HealthierLongerBetterlives 
                    ",477        ,1        ,20221003
9,aiahongkongmacau,6 days ago,"
                        【何詩蓓為您超越伴您突破】

當我沉浸在水中的時候，我是自在的，我的思想任由它鬆綁，放飛想像。在深海中與鯨魚，海豚，飛魚，海龜暢泳並不是天方夜譚。只要像 #何詩蓓 @siobhanhaughey01  一樣有 #突破精神，我們就可以創造出屬於自己的可能，天馬行空不是夢！你也想突破自身界限？馬上到 @aiahongkongmacau  觀看 #AIAx何詩蓓和其他Artist的超越故事，陪你一起邁步向前！

@a_r_y_u.c  | @kazy_chan | @laily.art  | @nopaperstudio  | @surrealhk  | @tsesaipei  |@vvvvnho  #AIAxSiobhánHaughey #AIAGoingBeyondWithYou #AIA為您超越伴您突破 #AIA超越保險 #AIABeyondInsurance  #健康長久好生活 #healthierlongerbetterlives 
                    ",189        ,3        ,20221003
