,ig_page,ig_post_date,ig_content,ig_like_cnt,ig_comment_cnt,ig_extract_date
0,aiahongkongmacau,3 days ago,"
                        【全新GREEN COMMON網店消費獎賞登場！】 

做多啲運動、飲食均衡、作息定時，健康生活其實話咁易！今個夏天，「AIA Vitality 健康程式」同您拍住上，做個健康達人同時賺分換獎賞！「AIA Vitality 健康程式」會員完成每月挑戰之後，我哋除咗請您睇戲、飲咖啡同埋網購Shopping，而家嘅每月獎賞仲有全新登場嘅GREEN COMMON網店電子優惠券，等您可以喺飲飲食食甚至生活用品方面更加Green，更加健康！ 

如果仲未成為「AIA Vitality 健康程式」會員嘅話，快啲加入啦，除咗可以享有保費折扣或額外保障之外，透過日常生活作簡單運動同健康飲食，就可以儲分升級，獲享更多優惠及豐富獎賞。 

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #AIAVitality  #AIAVitality健康程式  #LiveWithVitality  #AIAOneBillion 
                    ",21        ,0        ,20220630
1,aiahongkongmacau,3 days ago,"
                        【「AIA健康校園計劃」在香港推出】

AIA致力喺 2030 年前推動十億人實踐「健康長久好生活」，宣佈推出「AIA健康校園計劃」。呢個計劃會於2022/2023學年喺全香港小學推行，將為教師免費提供網上教育素材，幫助小學生培養更健康嘅生活方式。

快啲去 ahs.aia.com 了解更多！

 #AIA  #AIA健康校園計劃  #AIAHealthiestSchools  #健康長久好生活  #HealthierLongerBetterLives  #AIAOneBillion 
                    ",33        ,0        ,20220630
2,aiahongkongmacau,3 days ago,"
                        【AIA盛夏壓軸呈獻 — 林家謙首個紅館Show！伴您度過文青盛夏☀️🎤】
 
炎炎夏日，Monday Blues久唔久都會出現下！但傳聞話，有show睇嘅話，Summer Blues都可以令人為之一振🥳！

 #其實我不必異能大到可扭曲真相改春秋🎶 但如果可以令  #林家謙 開紅館Show，您又點睇😎？
今個8月，唱作歌手林家謙將於8月24至26日登陸紅館舉行首個個人演唱會，為大家帶嚟清新舞台，我哋當然會全力支持👏🏻👏🏻！

相信都唔使多作介紹，林家謙以文青系唱作歌手身份出道短短三年，憑住多首清新作品治癒樂迷心靈🥰！想喺嚟緊「AIA presents SUMMER BLUES 林家謙演唱會」親身感受家謙嘅療癒音樂世界？記得密切留意住我哋稍後嘅公布喇🎫🎫！

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #林家謙  #TerenceLam  #演唱會 
                    ",723        ,18        ,20220630
3,aiahongkongmacau,6 days ago,"
                        【立即報名參加免費瑜伽班！投入國際瑜伽週末！】

🧘‍♀🧘‍♂今個Weekend星期日（26/6），位於香港摩天輪嘅AIA Vitality Park為大家準備咗豐富多樣嘅免費瑜伽班，體驗瑜伽療癒身心嘅力量！大家可以選擇有融入音樂及打鼓元素嘅鼓樂瑜伽班，亦可以帶埋小朋友一齊參加親子雜技瑜伽班，享受不一樣嘅親子時光！

所有瑜伽班都可以免費參加，立即上網登記報名，到時帶埋您張瑜伽墊嚟同我哋一齊做瑜伽啦！各瑜伽班名額有限，先到先得，額滿即止。

HEALTHRHYTHMS™ 鼓樂瑜伽班
時間：下午4時正 - 5時正
導師：Kumi Masunaga
立即報名：https://bit.ly/3zXaaKk

親子雜技瑜伽班
時間：下午5時正 - 6時正
導師：MOVE Studio 創辦人 Paige Fitzmaurice
立即報名：https://bit.ly/3QK9KwP


 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #AIAVitality  #LiveWithVitality  #AIAVitalityHub  #AIAOneBillion

註：1. AIA Vitality公園作為疫苗通行證適用處所，將加強衛生及實施社交距離措施，確保所有訪客均可安心享受體驗。所有訪客在進入AIA Vitality公園範圍時必須掃瞄「安心出行」二維碼及出示附有二維碼的「疫苗通行證」以作掃瞄之用。2. 有關活動詳情，請查閱相關網站之最新安排。3. AIA 並不是活動主辦商， 亦不對活動的品質/安全負責。任何爭議須由參加者和活動主辦商直接處理。 
                    ",116        ,0        ,20220630
4,aiahongkongmacau,6 days ago,"
                        【香港迪士尼夜間匯演隆重登場！即享高達62折門票優惠入場睇Show！🏰】

等咗咁耐，全城期待嘅夜間匯演《迪士尼星夢光影之旅》即日起隆重登場🌟！您最鍾意嘅迪士尼經典角色，將會喺全新編排嘅經典樂章🎵，同埋魔法一樣嘅立體光雕投影技術下呈現出嚟，為您帶嚟多重視覺震撼同感官體驗💫！

作為香港迪士尼樂園度假區嘅企業聯盟夥伴，我哋嘅合資格客戶由即日起至2022年8月12日購買香港迪士尼樂園一日門票，可享低至62折優惠🎠，仲可以免費換領場內餐飲同精美禮品！睇完Show，仲可以直落去埋Staycation😎！而家至2022年9月29日book房除咗有85折優惠🏨，指定房型仲有得免費upgrade添！優惠期有限，即刻預訂啦！

有關優惠詳詳情及相關條款及細則，請瀏覽：https://bit.ly/3nc5WaP

按法例要求，所有賓客(獲豁免人士除外)進入樂園、度假區酒店及在餐廳堂食前必須使用「安心出行」流動應用程式登記及符合「疫苗通行證」之要求。 

賓客請參閱香港迪士尼樂園度假區網頁了解演出場次等最新資訊。《迪士尼星夢光影之旅》揭幕首兩個月將每星期演出4至5晚。 

 #AIAHongKong  #健康長久好生活  #HealthierLongerBetterLives  #HKDisneyland  #香港迪士尼樂園   #Momentous  #LovetheMemory  #迪士尼星夢光影之旅 
                    ",67        ,1        ,20220630
5,aiahongkongmacau,6 days ago,"
                        【齊齊估！AIA盛夏壓軸音樂搞作主角係？】 

埋嚟睇，埋嚟估！繼熱爆全城嘅軒公同欣宜演唱會之後，AIA即將有盛夏壓軸嘅音樂搞作！今次嘅主角會係邊個？

畀啲貼士大家，佢係香港唱作歌手嚟，快啲一齊留言估下啦！想知詳情就要留意我哋下星期嘅Update喇！

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #演唱會  #樂迷注意 
                    ",1k        ,97        ,20220630
6,aiahongkongmacau,1 week ago,"
                        【父親節快樂💗】

世上又點止得媽媽好，作為屋企嘅修理達人、媽媽嘅神隊友、仔女嘅陪玩專員，爸爸都一樣勞苦功高㗎！今日一於畀晒啲時間爸爸，一齊過個開心嘅父親節啦！ 

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #HappyFathersDay  #父親節快樂 
                    ",33        ,2        ,20220630
7,aiahongkongmacau,1 week ago,"
                        【熱刺報捷！恭喜孫興慜成亞洲首位英超金靴獎得主！】 

AIA全球主要合作夥伴托定咸熱刺喺英超今季賽事英勇奮戰，最終以勝仗結束球季，成功取得下季歐聯入場券！而熱刺球員孫興慜亦創下歷史，成為首位亞洲球員獲得英超金靴獎殊榮！恭喜熱刺，期待您哋下個賽季嘅精彩表現！ 

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #TottenhamHotspurGlobalPrincipalPartner  #AIASpurs  #FootballForLife  #SpursPlayeroftheMonth  #EnglishPremierLeague  #EPL  #TottenhamHotspur  #托定咸熱刺  #Spurs  #熱刺  #Football  #足球  #SonHeungMin  #孫興慜 
                    ",72        ,0        ,20220630
8,aiahongkongmacau,1 week ago,"
                        【立即投票有機會贏走簽名球衣或智能手錶！】 

托定咸熱刺嘅孫興慜、哈利簡尼同基斯甸羅美路，喺今個賽季都有非常出色嘅表現，邊個最深得您心呢?

2021/22賽季已經完滿結束，我哋特別舉辦咗AIA托定咸熱刺本賽季最佳球員活動，俾您用行動支持心目中最出色嘅球員。快啲把握機會參加活動，由即日起至2022年6月21日23:59(香港時間)投選您嘅心水最佳球員再分享投選原因，就有機會贏得托定咸熱刺簽名球衣乙件或智能手錶Garmin Vivosmart 4 乙枚*！ 

立即行動啦👉🏻https://bit.ly/3GwN6mT

註：每位參加者只可參與投票一次。受條款及細則約束。

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #TottenhamHotspurGlobalPrincipalPartner  #托定咸熱刺全球主要合作夥伴  #AIASpurs  #FootballForLife  #SpursPlayeroftheSeason  #EnglishPremierLeague  #EPL  #TottenhamHotspur  #托定咸熱刺  #Spurs  #熱刺  #Football  #足球 
                    ",35        ,0        ,20220630
9,aiahongkongmacau,1 week ago,"
                        【挑戰  #好友集氣Challenge ，贏取李慧詩親筆簽名著作🚴‍♀️】

要培養運動習慣，其實唔難；搵埋一班好友互相打氣，自然唔會偷懶！立即留言叫埋您嘅好友，一齊睇片做運動，同AIA卓越顧問大使李慧詩 @sarah_leewaisze  拍住上，實踐「健康長久好生活」！行動最快嘅50位參加者，可以贏到由Sarah親名簽名嘅著作《身上的每道傷疤》一本！

參加方法：
1️⃣ 讚好(Like)本帖文；
2️⃣ 於本帖文留言「我承諾透過AIA卓越顧問實踐健康長久好生活」；
3️⃣ 同時在留言上標記(Tag) 3位好友；
4️⃣ 最快完成以上步驟嘅50位參加者將可獲獎！ 

條款及細則：https://bit.ly/3xTrGO7

 #AIA  #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #卓越顧問共創未來  #BeyondNumberOne  #AIABeyondInsurance  #AIA超越保險  #stayhealthy  #李慧詩  #AIAPremierAdvisor  #AIAOneBillion

註：所有與有獎遊戲有關之日期及時間均以本專頁系統報告為準 
                    ",79        ,50        ,20220630
